name,amount
FLAT COAT RETR - MIX,5
CHIHUAHUA SH - MIX,98
COLLIE SMOOTH - GERM SHEPHERD,1
LABRADOR RETR - CATAHOULA,3
WELSH CORGI CAR - MIX,7
MALTESE - POODLE MIN,2
CHIHUAHUA LH - DACHSHUND,1
AUST SHEPHERD - GREAT PYRENEES,4
PARSON RUSS TER - MIX,8
HAWK - COOPERS,1
CATAHOULA - LABRADOR RETR,1
COLLIE SMOOTH - ENG FOXHOUND,1
PAPILLON - WELSH CORGI CAR,1
BORDER COLLIE - GOLDEN RETR,2
MIN PINSCHER - PUG,1
NORWICH TERRIER - MIX,2
BEAGLE - MIX,215
RHOD RIDGEBACK - GOLDEN RETR,1
BORDER COLLIE - SHETLD SHEEPDOG,2
SNAKE - BOA CONSTRICTOR,1
GERM SHEPHERD - CAROLINA DOG,1
SCOT TERRIER - MIX,4
ENG BULLDOG - AMER BULLDOG,2
BOXER - ST BERNARD RGH,1
PIT BULL - BOXER,22
ENG POINTER - BORDER COLLIE,1
GREYHOUND - GERM SHEPHERD,3
ENG SETTER - PURE BRED,1
WELSH CORGI CAR - BEAGLE,1
SHIH TZU - JACK RUSS TER,1
CATAHOULA - AUST SHEPHERD,1
BEAGLE - AUST SHEPHERD,3
LABRADOR RETR - ENG COONHOUND,4
AMER ESKIMO - BORDER COLLIE,1
POMERANIAN - SIBERIAN HUSKY,1
BOSTON TERRIER - PIT BULL,1
PERSIAN - MIX,1
QUARTER HORSE - MIX,1
GERM SHEPHERD - BLUETICK HOUND,1
BOXER - ST BERNARD SMTH,1
COONHOUND - PURE BRED,1
DOMESTIC LH - MIX,1
SHIH TZU - SCHNAUZER MIN,1
PUG - DACHSHUND,2
NORW ELKHOUND - SIBERIAN HUSKY,1
AIREDALE TERR - LABRADOR RETR,1
AUST SHEPHERD - LABRADOR RETR,6
DOBERMAN PINSCH - AMER BULLDOG,1
ROTTWEILER - BLUETICK HOUND,1
AUST SHEPHERD - MIX,28
BEAGLE - CHOW CHOW,1
CHOW CHOW - DOBERMAN PINSCH,1
OLDENG SHEEPDOG - OLD ENG BULLDOG,1
FLAT COAT RETR - GERM SHEPHERD,1
ST BERNARD SMTH - STAFFORDSHIRE,1
MIN PINSCHER - MIN PINSCHER,1
WELSH CORGI CAR - CHIHUAHUA SH,3
SILKY TERRIER - YORKSHIRE TERR,1
POODLE MIN - MIX,37
CAIRN TERRIER - CHIHUAHUA LH,1
BULL TERRIER - WEIMARANER,1
GOLDEN RETR - GERM SHEPHERD,1
PIT BULL - MIX,311
PIT BULL - BOSTON TERRIER,1
SIAMESE - MIX,47
ROTTWEILER - ALASKAN HUSKY,2
SHIH TZU - POODLE MIN,10
BORDER COLLIE - GERM SHEPHERD,2
PEKINGESE - PUG,1
AKITA - PURE BRED,1
AFFENPINSCHER - MIX,1
SHETLD SHEEPDOG - GERM SHEPHERD,1
BOXER - STAFFORDSHIRE,2
LABRADOR RETR - MASTIFF,2
CHOW CHOW - COLLIE SMOOTH,1
BOXER - PURE BRED,3
FLAT COAT RETR - LABRADOR RETR,2
BOSTON TERRIER - YORKSHIRE TERR,6
YORKSHIRE TERR - LABRADOR RETR,1
PRESA CANARIO - CANE CORSO,1
PRESA CANARIO - MASTIFF,1
GERM SHEPHERD - WHIPPET,1
CHOW CHOW - GOLDEN RETR,4
AM PIT BULL TER - AM PIT BULL TER,2
RAT TERRIER - TOY FOX TERRIER,1
BLACK MOUTH CUR - MIX,1
IRISH TERRIER - MIX,3
PEKINGESE - CHIHUAHUA SH,1
AKITA - GERM SHEPHERD,2
GREAT DANE - DALMATIAN,1
CHOW CHOW - BORDER COLLIE,2
BOXER - BOXER,1
DOMESTIC LH - MAINE COON,1
SCHNAUZER STAND - PIT BULL,1
LABRADOR RETR - STAFFORDSHIRE,1
BASENJI - JACK RUSS TER,1
MIN PINSCHER - MIX,32
TN WALK HORSE - MIX,1
DOMESTIC SH - MIX,9
BLACK/TAN HOUND - ROTTWEILER,1
ITAL GREYHOUND - MIX,1
ROTTWEILER - BERNESE MTN DOG,1
AUST CATTLE DOG - CHIHUAHUA SH,2
BOXER - PIT BULL,21
ALASKAN HUSKY - CHOW CHOW,1
GREAT DANE - LABRADOR RETR,2
CAIRN TERRIER - MIX,35
BOSTON TERRIER - BEAGLE,4
POODLE MIN - PURE BRED,1
LABRADOR RETR - ROTTWEILER,9
JACK RUSS TER - CAIRN TERRIER,1
PIT BULL - ROTTWEILER,1
SCHNAUZER GIANT - POODLE STND,1
BEAGLE - BOXER,1
SIBERIAN HUSKY - GERM SHEPHERD,5
MANCHESTER TERR - BEAGLE,2
WEST HIGHLAND - MIX,6
BORDER COLLIE - SIBERIAN HUSKY,3
BOXER - PUG,2
SCHIPPERKE - BOSTON TERRIER,2
BASSET HOUND - BEAGLE,10
PIT BULL - ENG FOXHOUND,1
TURKISH ANGORA - PERSIAN,1
MIN PINSCHER - BEAGLE,3
PUG - BOSTON TERRIER,5
CATAHOULA - MIX,7
LABRADOR RETR - CHIHUAHUA SH,2
AFRICAN - AFRICAN GRAY,1
ENG POINTER - MIX,2
GREAT PYRENEES - MIX,7
GREAT PYRENEES - ANATOL SHEPHERD,1
CHINESE SHARPEI - DACHSHUND,1
GREYHOUND - LABRADOR RETR,1
GOLDEN RETR - PURE BRED,4
NORFOLK TERRIER - YORKSHIRE TERR,1
LABRADOR RETR - BASSET HOUND,5
JAPANESE CHIN - BICHON FRISE,1
PAPILLON - SHIH TZU,1
PEKINGESE - JACK RUSS TER,1
WH PT GRIFFON - MIX,3
YORKSHIRE TERR - MIX,31
AMERICAN STAFF - BULLDOG,1
CHOW CHOW - AKITA,2
PEKINGESE - POODLE MIN,1
COCKER SPAN - CHOW CHOW,1
SOMALI - ABYSSINIAN,1
ROTTWEILER - PIT BULL,10
BOXER - CANE CORSO,2
BEAGLE - CAIRN TERRIER,1
CATAHOULA - AMER BULLDOG,1
GERM SHEPHERD - BEAGLE,7
SHETLD SHEEPDOG - MIX,15
CAROLINA DOG - MIX,1
SCHNAUZER GIANT - PURE BRED,1
CHIHUAHUA SH - RAT TERRIER,2
BULL TERRIER - MIX,2
GERM SH POINT - LABRADOR RETR,3
EGYPTIAN MAU - MIX,1
BLOODHOUND - GERM SHEPHERD,2
YORKSHIRE TERR - CHIHUAHUA SH,3
AIREDALE TERR - SCHNAUZER STAND,1
BOSTON TERRIER - PUG,1
POMERANIAN - MIX,16
BOMBAY - MIX,1
AKITA - CHOW CHOW,1
BEAGLE - BASSET HOUND,4
SIBERIAN HUSKY - MIX,26
PUG - PIT BULL,1
COCKER SPAN - POODLE MIN,9
SC WHEAT TERR - AUST SHEPHERD,3
BENGAL - ABYSSINIAN,2
BOXER - MIX,102
AM PIT BULL TER - MIX,5
PIT BULL - DOBERMAN PINSCH,1
LABRADOR RETR - GERM SHEPHERD,21
AMERICAN STAFF - MIX,2
BULLDOG - BOXER,3
NORW ELKHOUND - KEESHOND,1
BLOODHOUND - REDBONE HOUND,1
MAINE COON - MIX,19
CATAHOULA - BOXER,2
CAIRN TERRIER - YORKSHIRE TERR,3
BICHON FRISE - MIX,5
GERM SHEPHERD - PIT BULL,14
FOX TERR WIRE - CAIRN TERRIER,1
CHOW CHOW - CHINESE SHARPEI,1
POMERANIAN - JAPANESE CHIN,1
COLLIE SMOOTH - ALASK MALAMUTE,1
AMER ESKIMO - MIX,5
STAFFORDSHIRE - DOGUE DE BORDX,1
PUG - CHIHUAHUA SH,2
POODLE MIN - MALTESE,3
PAPILLON - BORDER COLLIE,1
SCHNAUZER MIN - YORKSHIRE TERR,2
CHIHUAHUA SH - PIT BULL,1
GERM SHEPHERD - AKITA,10
FEIST - CAROLINA DOG,1
BANTAM - PEKING,1
SIAMESE - DOMESTIC SH,6
OLDENG SHEEPDOG - BORDER COLLIE,1
SCHNAUZER MIN - MIX,33
JACK RUSS TER - WEST HIGHLAND,1
DACHSHUND WH - MIX,4
JACK RUSS TER - FOX TERR WIRE,1
TREEING CUR - MIX,1
BELG TERVUREN - MIX,1
CHIHUAHUA SH - POMERANIAN,5
COCKER SPAN - POODLE STND,1
GOLDEN RETR - AUST SHEPHERD,8
BOXER - BOSTON TERRIER,1
CANE CORSO - LABRADOR RETR,1
CHOW CHOW - SHIBA INU,1
BORDER COLLIE - AFGHAN HOUND,1
CHIHUAHUA SH - WELSH CORGI PEM,1
ABYSSINIAN - BENGAL,1
JINDO - CHOW CHOW,3
AUST SHEPHERD - GERM SHEPHERD,1
LABRADOR RETR - GREAT PYRENEES,1
PUG - JACK RUSS TER,3
BEAGLE - ALASKAN HUSKY,1
ST BERNARD RGH - GOLDEN RETR,1
FOX TERR SMOOTH - POINTER,1
BORDER COLLIE - MIX,84
LHASA APSO - BEAGLE,1
SIBERIAN HUSKY - SHIBA INU,1
SPHYNX - KORAT,1
SHIH TZU - BEAGLE,2
AKITA - MIX,3
MASTIFF - MIX,14
LABRADOR RETR - POINTER,3
BORDER COLLIE - LABRADOR RETR,11
COLLIE SMOOTH - SIBERIAN HUSKY,1
DOMESTIC MH - MIX,1
ENG BULLDOG - BEAGLE,2
LABRADOR RETR - PIT BULL,47
DOMESTIC SH - TURKISH ANGORA,2
ROTTWEILER - GERM SHEPHERD,9
CHINESE SHARPEI - MIX,8
POTBELLY PIG - MIX,1
AMER BULLDOG - BOXER,3
LABRADOR RETR - VIZSLA,1
BLOODHOUND - PURE BRED,1
BOXER - AUST SHEPHERD,1
ENG BULLDOG - MIX,4
WHIPPET - GREYHOUND,4
LABRADOR RETR - BEAGLE,18
PIT BULL - AMER BULLDOG,2
GOLDEN RETR - GREAT PYRENEES,1
FOX TERR SMOOTH - PURE BRED,1
PIT BULL - GERM SHEPHERD,7
JINDO - GERM SHEPHERD,2
COCKER SPAN - PAPILLON,1
RHOD RIDGEBACK - MIX,3
HIMALAYAN - MIX,4
PAPILLON - CHIHUAHUA LH,2
DACHSHUND - PURE BRED,1
JACK RUSS TER - DACHSHUND,3
YORKSHIRE TERR - CAIRN TERRIER,2
PONY - MIX,3
GOLDEN RETR - CHOW CHOW,4
LABRADOR RETR - BOXER,12
MALTESE - SHIH TZU,2
COLLIE ROUGH - POMERANIAN,1
THOROUGHBRED - MIX,4
DOMESTIC SH - SIAMESE,8
ENG COONHOUND - FRENCH BULLDOG,2
COCKER SPAN - LABRADOR RETR,1
IRISH SETTER - MIX,3
OCICAT - MIX,1
FOX TERR WIRE - JACK RUSS TER,2
GERM SHEPHERD - MIX,266
CHIHUAHUA SH - FOX TERR WIRE,2
BRITTANY - AUST SHEPHERD,1
AUST CATTLE DOG - CHOW CHOW,1
CHESA BAY RETR - MIX,1
POODLE MIN - SHIH TZU,4
ABYSSINIAN - DOMESTIC SH,1
STAFFORDSHIRE - PURE BRED,1
SHIH TZU - MIX,53
AMER ESKIMO - POMERANIAN,1
JACK RUSS TER - MIX,64
REDBONE HOUND - BEAGLE,1
GERM SH POINT - MIX,6
AIREDALE TERR - MIX,3
PUG - MIX,22
WHIPPET - PIT BULL,1
AMER BULLDOG - MIX,15
GERM SHEPHERD - BELG MALINOIS,1
ENG COONHOUND - MIX,3
JACK RUSS TER - PATTERDALE TERR,1
DACHSHUND - MIN PINSCHER,2
SCHIPPERKE - CHOW CHOW,1
POODLE MIN - COCKER SPAN,4
JACK RUSS TER - RAT TERRIER,1
IRISH WOLFHOUND - MIX,1
GERM SHEPHERD - NEWFOUNDLAND,2
MIN PINSCHER - CHIHUAHUA SH,5
LABRADOR RETR - AM PIT BULL TER,1
GERM SHEPHERD - GREAT DANE,1
LABRADOR RETR - CHOW CHOW,20
BOXER - AMER BULLDOG,1
LABRADOR RETR - FOX TERR WIRE,1
GERM SHEPHERD - COLLIE SMOOTH,1
SHIBA INU - RAT TERRIER,1
BOXER - GERM SHEPHERD,3
YORKSHIRE TERR - POODLE MIN,8
DOBERMAN PINSCH - LABRADOR RETR,2
AMER BULLDOG - GERM SHEPHERD,1
HAWK - RED-SHOULDERED,2
AUST SHEPHERD - BORDER COLLIE,6
CHINESE SHARPEI - GERM SHEPHERD,2
BULLMASTIFF - GREAT DANE,1
AMER SH - MIX,1
COLLIE SMOOTH - BEAGLE,1
SHIH TZU - CHIHUAHUA LH,1
GERM SHEPHERD - BORDER COLLIE,5
BEAGLE - ENG BULLDOG,5
CHICKEN - ARAUCANA,3
SIBERIAN HUSKY - ANATOL SHEPHERD,1
RAT TERRIER - BEAGLE,1
TOY FOX TERRIER - MIX,1
MIN PINSCHER - PURE BRED,1
WHIPPET - MIX,2
SNOWSHOE - MIX,5
COCKER-POO - PURE BRED,1
DACHSHUND - WELSH CORGI PEM,5
CHIHUAHUA SH - PUG,1
PUG - BASSET HOUND,1
CHOW CHOW - PURE BRED,1
KEESHOND - CHOW CHOW,1
PIT BULL - JACK RUSS TER,1
BLACK/TAN HOUND - MIX,11
AMERICAN STAFF - PURE BRED,3
LABRADOR RETR - WEIMARANER,11
SNAKE - CORN,1
SHIH TZU - BICHON FRISE,2
POMERANIAN - AMER ESKIMO,1
GREAT PYRENEES - BORDER COLLIE,1
YORKSHIRE TERR - JACK RUSS TER,1
GERM SHEPHERD - SIBERIAN HUSKY,13
BLOODHOUND - MIX,2
BEAGLE - JACK RUSS TER,9
GERM SHEPHERD - GREAT PYRENEES,2
MALTESE - POODLE TOY,1
CHIHUAHUA SH - LABRADOR RETR,1
YORKSHIRE TERR - CHIHUAHUA LH,2
CHIHUAHUA LH - YORKSHIRE TERR,1
BEAGLE - WELSH CORGI CAR,2
TIBETAN TERR - MIX,2
REDBONE HOUND - BOXER,1
CHOW CHOW - PUG,1
PUG - BEAGLE,59
POODLE MIN - LHASA APSO,1
SIAMESE - SNOWSHOE,1
BEAGLE - PIT BULL,4
BELG MALINOIS - PIT BULL,1
BALINESE - MIX,4
PIT BULL - SIBERIAN HUSKY,1
DACHSHUND - PUG,2
FOX TERR WIRE - CHIHUAHUA SH,1
SHETLD SHEEPDOG - CHOW CHOW,4
CHIHUAHUA LH - BICHON FRISE,1
YORKSHIRE TERR - MIN PINSCHER,1
ROTTWEILER - DOBERMAN PINSCH,3
ENG SETTER - MIX,1
DACHSHUND - MIX,38
MASTIFF - PIT BULL,2
SHIH TZU - HAVANESE,1
GOLDEN RETR - BLACK/TAN HOUND,2
SHIH TZU - PARSON RUSS TER,1
DALMATIAN - JACK RUSS TER,1
SQUIRREL - EASTERN GREY,1
PERSIAN - MUNCHKIN LH,2
COLLIE ROUGH - POODLE MIN,2
MIN PINSCHER - ITAL GREYHOUND,2
BEAGLE - AUST KELPIE,1
GOLDEN RETR - COLLIE ROUGH,1
COCKER SPAN - MIX,26
ENG POINTER - DALMATIAN,1
HARRIER - DACHSHUND,1
WHIPPET - CHIHUAHUA SH,1
BORDER TERRIER - SHIH TZU,3
WELSH CORGI PEM - BEAGLE,3
LABRADOR RETR - PURE BRED,5
DOMESTIC SH - TURKISH VAN,1
SHIH TZU - MALTESE,1
BORDER COLLIE - CANAAN DOG,1
LABRADOR RETR - COLLIE SMOOTH,1
PIT BULL - DALMATIAN,2
DALMATIAN - LABRADOR RETR,2
BOXER - AM PIT BULL TER,1
YORKSHIRE TERR - SHIH TZU,2
CHIHUAHUA SH - MIN PINSCHER,5
BERNESE MTN DOG - MIX,3
CHIHUAHUA LH - MIX,12
IRISH TERRIER - SCOT DEERHOUND,2
GERM SHEPHERD - BULLMASTIFF,1
BRUSS GRIFFON - MIX,3
CATAHOULA - PIT BULL,1
HIMALAYAN - PERSIAN,2
LABRADOR RETR - BERNESE MTN DOG,5
GERM SHEPHERD - GOLDEN RETR,1
GERM SHEPHERD - JACK RUSS TER,1
SAMOYED - COLLIE ROUGH,1
CAVALIER SPAN - BEAGLE,1
BORDER COLLIE - AUST SHEPHERD,4
POODLE MIN - YORKSHIRE TERR,3
PIT BULL - BORDER COLLIE,2
POMERANIAN - JACK RUSS TER,2
LHASA APSO - MIX,16
VIZSLA - LABRADOR RETR,1
MIX - BEAGLE,1
BOSTON TERRIER - CHIHUAHUA SH,3
GERM SHEPHERD - COLLIE ROUGH,12
BOYKIN SPAN - POODLE MIN,2
BASSET HOUND - PIT BULL,1
CANE CORSO - GREAT DANE,1
LHASA APSO - SCHNAUZER MIN,2
PEKINGESE - MIX,10
BORDER COLLIE - FLAT COAT RETR,2
GOLDEN RETR - POODLE STND,2
BULL TERRIER - PURE BRED,1
DOBERMAN PINSCH - PHARAOH HOUND,1
CANE CORSO - ROTTWEILER,2
MAINE COON - DOMESTIC LH,4
MASTIFF - CHINESE SHARPEI,1
LABRADOR RETR - GREAT DANE,6
DOBERMAN PINSCH - GERM SHEPHERD,2
PIT BULL - WEIMARANER,1
AMER BULLDOG - CANE CORSO,1
PARSON RUSS TER - FOX TERR WIRE,2
SHIH TZU - YORKSHIRE TERR,2
HAWK - RED-TAILED,1
FILA - MIX,1
POMERANIAN - CHIHUAHUA LH,8
ENG BULLDOG - BASSET HOUND,1
ORPINGTON - MIX,2
GR SWISS MTN - MIX,1
DACHSHUND - JACK RUSS TER,5
AMERICAN STAFF - DOGUE DE BORDX,1
SIBERIAN HUSKY - COLLIE SMOOTH,1
POODLE MIN - SCHNAUZER MIN,3
DOMESTIC SH - ABYSSINIAN,5
LABRADOR RETR - BLOODHOUND,1
CHOW CHOW - NEWFOUNDLAND,2
POINTER - BEAGLE,1
CHOW CHOW - SHETLD SHEEPDOG,1
ANGUS - MIX,3
CHIHUAHUA LH - WELSH CORGI CAR,1
MANCHESTER TERR - DACHSHUND,1
AMERICAN STAFF - PIT BULL,2
MALTESE - MIX,13
SCOT TERRIER - YORKSHIRE TERR,2
YORKSHIRE TERR - LHASA APSO,1
PLOTT HOUND - MIX,7
AUST SHEPHERD - BEAGLE,1
CHINESE SHARPEI - PIT BULL,2
AUST CATTLE DOG - MANCHESTER TERR,1
DOMESTIC MH - SIAMESE,1
BEAGLE - CATAHOULA,3
ALASKAN HUSKY - LABRADOR RETR,10
TR WALKER HOUND - BEAGLE,1
PIT BULL - LABRADOR RETR,52
BOXER - TR WALKER HOUND,1
FINNISH SPITZ - GOLDEN RETR,1
GREAT PYRENEES - LEONBERGER,1
CAIRN TERRIER - JACK RUSS TER,1
LIZARD - BEARDED DRAGON,1
BEARDED COLLIE - MIX,9
IBIZAN HOUND - MIX,4
CHIHUAHUA SH - PEKINGESE,1
COCKER SPAN - AUST SHEPHERD,1
AUST CATTLE DOG - BORDER COLLIE,2
GERM SHEPHERD - ALASKAN HUSKY,6
SCHNAUZER MIN - SHIH TZU,1
WELSH SPR SPAN - BEAGLE,1
TOY FOX TERRIER - BEAGLE,1
AUST CATTLE DOG - GERM SHEPHERD,1
POODLE TOY - YORKSHIRE TERR,1
BULLMASTIFF - PIT BULL,1
PIT BULL - CHESA BAY RETR,2
NEWFOUNDLAND - MIX,2
LABRADOR RETR - RHOD RIDGEBACK,1
JINDO - MIX,2
LABRADOR RETR - ALASKAN HUSKY,2
BASSET HOUND - JACK RUSS TER,1
JACK RUSS TER - BOXER,4
