name,amount
0,1
4019,1
10032,1
20169,1
20213,1
26201,1
28704,1
32159,1
33158,1
33594,1
33713,1
37013,2
37027,1
37037,2
37072,1
37086,3
37087,1
37091,1
37115,3
37128,2
37129,1
37130,4
37209,1
37211,2
37327,1
37356,1
37366,1
38069,2
40004,3
40008,2
40014,13
40019,2
40020,1
40023,15
40031,9
40033,1
40047,25
40055,1
40057,1
40059,20
40065,7
40067,3
40068,1
40071,19
40077,5
40104,1
40108,1
40109,3
40118,147
40119,2
40121,4
40146,8
40150,2
40160,6
40165,51
40175,3
40176,1
40177,4
40185,2
40195,1
40201,3
40202,53
40203,212
40204,82
40205,82
40206,89
40207,59
40208,181
40209,8
40210,256
40211,428
40212,419
40213,172
40214,483
40215,2034
40216,650
40217,121
40218,311
40219,392
40220,138
40222,52
40223,57
40224,3
40227,2
40228,115
40229,350
40241,54
40242,31
40243,32
40245,74
40253,1
40256,2
40258,365
40265,1
40270,1
40271,2
40272,496
40277,1
40279,1
40291,215
40295,2
40299,210
40390,1
40503,1
40505,1
40511,1
40515,1
40741,1
41042,1
41075,1
42011,2
42101,2
42304,1
42348,1
42420,1
42701,1
42724,1
42740,1
42748,1
42765,1
43008,1
43241,1
44129,1
45202,1
45231,1
45240,1
45248,1
45644,1
46062,1
46077,1
46143,1
46201,1
46226,1
46229,1
46231,1
46234,1
46240,1
46254,1
46259,2
46808,1
46941,1
47106,1
47111,1
47112,2
47119,4
47122,1
47126,1
47129,14
47130,12
47136,1
47140,2
47143,6
47144,1
47150,17
47161,2
47163,2
47165,1
47172,5
47220,1
48042,1
60174,1
61701,2
62708,1
62878,1
63111,1
63304,1
63764,2
70272,1
98362,1
471307,1
EMPTY,862
