zip,number,zip,number,zip,number,zip,number,zip,number
40215,2034,40222,52,40175,3,40033,1,43008,1
EMPTY,862,40165,51,40201,3,40055,1,43241,1
40216,650,40243,32,40224,3,40057,1,44129,1
40272,496,40242,31,37013,2,40068,1,45202,1
40214,483,40047,25,37037,2,40104,1,45231,1
40211,428,40059,20,37128,2,40108,1,45240,1
40212,419,40071,19,37211,2,40176,1,45248,1
40219,392,47150,17,38069,2,40195,1,45644,1
40258,365,40023,15,40008,2,40253,1,46062,1
40229,350,47129,14,40019,2,40265,1,46077,1
40218,311,40014,13,40119,2,40270,1,46143,1
40210,256,47130,12,40150,2,40277,1,46201,1
40291,215,40031,9,40185,2,40279,1,46226,1
40203,212,40146,8,40227,2,40390,1,46229,1
40299,210,40209,8,40256,2,40503,1,46231,1
40208,181,40065,7,40271,2,40505,1,46234,1
40213,172,40160,6,40295,2,40511,1,46240,1
40118,147,47143,6,42011,2,40515,1,46254,1
40220,138,40077,5,42101,2,40741,1,46808,1
40217,121,47172,5,46259,2,41042,1,46941,1
40228,115,37130,4,47112,2,41075,1,47106,1
40206,89,40121,4,47140,2,42304,1,47111,1
40204,82,40177,4,47161,2,42348,1,47122,1
40205,82,47119,4,47163,2,42420,1,47126,1
40245,74,37086,3,61701,2,42701,1,47136,1
40207,59,37115,3,63764,2,42724,1,47144,1
40223,57,40004,3,0,1,42740,1,47165,1
40241,54,40067,3,4019,1,42748,1,47220,1
40202,53,40109,3,40020,1,42765,1,471307,1
